
Import: Release 12.1.0.2.0 - Production on Sun Mar 26 01:05:29 2023

Copyright (c) 1982, 2014, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Master table "INTUADMIN"."SYS_IMPORT_TABLE_01" successfully loaded/unloaded
Starting "INTUADMIN"."SYS_IMPORT_TABLE_01":  userid=intuadmin/********@psphpp01 dumpfile=DATA_PUMP_DIR:exp_data_%U.dmp,DATA_PUMP_DIR1:exp_data1_%U.dmp,DATA_PUMP_DIR2:exp_data2_%U.dmp,DATA_PUMP_DIR3:exp_data3_%U.dmp parallel=16 TABLES=PSPADM.PSP_FINANCIAL_TRANS_STATE,PSPADM.PSP_PSTUB_PAY_ITEM content=data_only logfile=DATA_PUMP_DIR:imp_psp_tables1.log 
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122018"  7.298 GB 35654116 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112017"  7.249 GB 35273384 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022021"  7.231 GB 35254534 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112019"  7.217 GB 35187530 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022020"  7.197 GB 35085361 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062019"  7.193 GB 35082765 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052017"  7.170 GB 34985659 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112018"  7.158 GB 34838550 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042018"  7.134 GB 34764042 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102017"  7.131 GB 34764634 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062018"  7.107 GB 34600096 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032019"  6.973 GB 34000839 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082016"  6.950 GB 33879967 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032017"  6.940 GB 33767851 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022019"  6.867 GB 33474049 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052020"  6.854 GB 33396841 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032018"  6.849 GB 33336852 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062017"  6.843 GB 33285294 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062016"  6.840 GB 33267248 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122015"  6.821 GB 33177775 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072017"  6.776 GB 32995588 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092018"  6.745 GB 32877896 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032016"  6.712 GB 32657504 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122017"  6.708 GB 32691339 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072015"  6.681 GB 32448339 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112016"  6.644 GB 32398904 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012017"  6.626 GB 32233381 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042015"  6.616 GB 32122026 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042017"  6.596 GB 32104721 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122016"  6.488 GB 31562446 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022018"  6.476 GB 31551819 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072014"  6.458 GB 31348215 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092015"  6.371 GB 31022135 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122014"  6.363 GB 30971577 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102016"  6.360 GB 31011753 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092017"  6.346 GB 30916472 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072016"  6.327 GB 30782333 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102014"  6.305 GB 30615674 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042016"  6.295 GB 30619736 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102015"  6.281 GB 30511583 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042014"  6.236 GB 30301264 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052016"  6.197 GB 30204369 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092016"  6.193 GB 30124564 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062015"  6.097 GB 29701355 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022017"  6.033 GB 29387434 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102013"  6.029 GB 29270694 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012016"  5.978 GB 29026524 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072013"  5.950 GB 28904418 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082015"  5.876 GB 28608411 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022016"  5.846 GB 28469863 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032015"  5.825 GB 28368431 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012015"  5.806 GB 28141612 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112015"  5.743 GB 27962151 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122013"  5.716 GB 27817942 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092014"  5.628 GB 27390169 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012014"  5.617 GB 27185545 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052015"  5.592 GB 27209083 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012013"  5.568 GB 26960681 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042013"  5.539 GB 26905295 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062014"  5.454 GB 26539773 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052014"  5.445 GB 26440154 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102012"  5.437 GB 26459208 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082014"  5.409 GB 26297240 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052013"  5.369 GB 26062988 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022015"  5.362 GB 26076496 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112014"  5.342 GB 25970044 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032014"  5.220 GB 25387608 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082013"  5.179 GB 25136002 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022014"  5.018 GB 24385712 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032023"  5.007 GB 24362462 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092013"  4.989 GB 24250839 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112013"  4.885 GB 23756473 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062013"  4.850 GB 23570672 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122012"  4.801 GB 23335030 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032013"  4.708 GB 22881461 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112012"  4.688 GB 22748418 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022013"  4.600 GB 22348183 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072012"  4.173 GB 20333899 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082012"  4.157 GB 20220068 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052012"  4.116 GB 20054052 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042012"  3.936 GB 19192257 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012012"  3.687 GB 17970428 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062012"  3.678 GB 17910519 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092012"  3.582 GB 17452266 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022012"  3.553 GB 17327367 rows
