SQL> set lines 500 pages 500
col constraint_name for a50
col table_name for a50
select constraint_name, table_name,status  from dba_constraints where owner='PSPADM' and constraint_type='R' SQL> SQL> SQL> ;

CONSTRAINT_NAME 				   TABLE_NAME					      STATUS
PSP_DISBURSE_ADVICE_TAX_LI_FK2			   PSP_DISBURSE_ADVICE_TAX_LIAB 		      ENABLED
PSP_EFTPS_FILE_FK2				   PSP_EFTPS_FILE				      ENABLED
PSP_STATE_EDI_TAX_FILE_FK1			   PSP_STATE_EDI_TAX_FILE			      ENABLED
PSP_EFTPS_ENROLLMENT_DETAI_FK1			   PSP_EFTPS_ENROLLMENT_DETAIL			      ENABLED
PSP_EFTPS_ENROLLMENT_DETAI_FK2			   PSP_EFTPS_ENROLLMENT_DETAIL			      ENABLED
PSP_EFTPS_ENROLLMENT_DETAI_FK3			   PSP_EFTPS_ENROLLMENT_DETAIL			      ENABLED
PSP_EFTPS_FILE_FK1				   PSP_EFTPS_FILE				      ENABLED
PSP_EFTPS_PAYMENT_DETAIL_FK1			   PSP_EFTPS_PAYMENT_DETAIL			      ENABLED
PSP_EFTPS_PAYMENT_DETAIL_FK2			   PSP_EFTPS_PAYMENT_DETAIL			      ENABLED
PSP_EFTPS_PAYMENT_DETAIL_FK3			   PSP_EFTPS_PAYMENT_DETAIL			      ENABLED
PSP_PAYCHECK_FK4				   PSP_PAYCHECK 				      ENABLED
PSP_PAYCHECK_FK1				   PSP_PAYCHECK 				      ENABLED
PSP_PSTUB_EMPLOYEE_INFO_FK1			   PSP_PSTUB_EMPLOYEE_INFO			      ENABLED
PSP_EMPLOYEE_PAYROLL_ITEM__FK2			   PSP_EE_PAYROLLITEM_QTRTOTALS 		      ENABLED
PSP_EMPLOYEE_ACCRUAL_FK1			   PSP_EMPLOYEE_ACCRUAL 			      ENABLED
PSP_EMPLOYEE_BANK_ACCOUNT_FK2			   PSP_EMPLOYEE_BANK_ACCOUNT			      ENABLED
PSP_EMPLOYEE_CUSTOM_FIELD_FK1			   PSP_EMPLOYEE_CUSTOM_FIELD			      ENABLED
PSP_EMPLOYEE_LAW_QTR_TOTAL_FK2			   PSP_EMPLOYEE_LAW_QTR_TOTALS			      ENABLED
PSP_EMPLOYEE_PAYROLL_ITEM_FK2			   PSP_EMPLOYEE_PAYROLL_ITEM			      ENABLED
PSP_EMPLOYEE_TAX_FK2				   PSP_EMPLOYEE_TAX				      ENABLED
PSP_EMPLOYEE_W2_TOTALS_FK2			   PSP_EMPLOYEE_W2_TOTALS			      ENABLED
PSP_EMPLOYEE_WAGE_PLAN_FK1			   PSP_EMPLOYEE_WAGE_PLAN			      ENABLED
