com.intuit.sbd.payroll.psp.adapters.sap.adapter.RTBAdapter,getQueryConsoleIksUrl
com.intuit.sbd.payroll.psp.adapters.sap.adapter.TaxAdapter,getAgencyList
,getCompanyAgencyTemplates
,findEmployeeLedgerItems
,getEftpsEnrollmentsHistory
,getLawAmounts
,getRAFEnrollmentsByStatusAndCompany
,getRAFEnrollmentsHistory
,findEnrollmentFiles
,getACHEnrollmentQuarters
,getPaymentMethodsHistory
,getStatusHistoryData
,getHoldsHistoryData
,getPaymentsPayDateAuditHistory
,getPaymentAmountDetails
,getNextInitiationDate
,getOffloadDate
,getPaymentMethodAuditHistory
,getValidPaymentMethods
,getValidPaymentMethodsByTemplate
,getQBDTTokens
,findCompanyLaws
com.intuit.sbd.payroll.psp.adapters.sap.adapter.TaxCreditsAdapter,find9061Forms
com.intuit.sbd.payroll.psp.adapters.sap.adapter.UserAdapter,sapLogout
,getAllUsersByOperation
,updateUserData
,addNewRole
,updatePreference
,updatePreferences
,getUserSettings
,resetSettings
,unlockUser
com.intuit.sbd.payroll.psp.adapters.sap.adapter.rtbAutomation.RTBAutomationAdapter,duplicateEmployee
,findEmployeeName
,findCompanyName
,findPitemName
,duplicatePitem
com.intuit.sbd.payroll.psp.adapters.sap.adapter.rtbAutomation.VMPAutomationAdapter,updateRealmId
com.intuit.sbd.payroll.psp.adapters.sap.adapter.PayrollRunAdapter,findLedgerAccounts
com.intuit.sbd.payroll.psp.adapters.sap.adapter.AdministrationAdapter,uploadLedgerOperationsFile
com.intuit.ems.dataservice.v4.provider.UserProvider,getEntity
com.intuit.ems.dataservice.v4.provider.UserEmployerProvider,getEntity
com.intuit.ems.dataservice.v4.provider.PayslipProvider,getEntity
com.intuit.ems.dataservice.v4.provider.EmployeeTimeOffPolicyProvider,getEntity
com.intuit.ems.dataservice.v4.provider.EmployeeTimeOffPolicyProvider,getEntityList
com.intuit.ems.dataservice.v1.resource.UserResource,getForRealm
com.intuit.ems.dataservice.v1.resource.UserResource,getEmployeePreferencesByApp
